ID=177 LEN=8 DATA=[AE 90 E4 4A C7 79 02 BB]
ID=17C LEN=8 DATA=[48 3C 00 00 00 18 00 DB]
ID=17D LEN=8 DATA=[ED DE BC EC 00 00 01 2C]
ID=170 LEN=8 DATA=[22 58 21 42 B7 71 03 AB]
ID=171 LEN=8 DATA=[AC C4 C3 CA 77 81 03 F2]
ID=172 LEN=8 DATA=[AD CC D3 4A A8 85 03 6D]
ID=173 LEN=8 DATA=[B1 24 13 0B E8 81 03 45]
ID=174 LEN=8 DATA=[27 44 75 82 C6 69 03 C8]
ID=175 LEN=8 DATA=[25 60 51 42 F7 75 03 EE]
ID=176 LEN=8 DATA=[24 60 41 02 F7 75 03 C9]
ID=177 LEN=8 DATA=[AE 90 E4 4A C7 79 03 A6]
ID=17C LEN=8 DATA=[48 3C 00 00 00 00 00 35]
ID=17D LEN=8 DATA=[ED DE BC EC 00 00 02 56]
ID=170 LEN=8 DATA=[22 58 21 42 B7 71 00 8C]
ID=171 LEN=8 DATA=[AC C4 C3 CA 77 81 00 D5]
ID=172 LEN=8 DATA=[AD CC D3 4A 98 85 00 62]
ID=173 LEN=8 DATA=[B1 24 13 0B B8 7D 00 8F]
ID=174 LEN=8 DATA=[27 44 75 82 C6 69 00 EF]
ID=175 LEN=8 DATA=[25 60 51 42 F7 75 00 C9]
ID=176 LEN=8 DATA=[23 5C 31 02 E7 75 00 FB]
ID=177 LEN=8 DATA=[AE 90 E4 CA C7 7D 00 99]
ID=17C LEN=8 DATA=[48 3C 00 00 00 08 00 6F]
ID=17D LEN=8 DATA=[ED DE BC EC 00 00 03 4B]
ID=170 LEN=8 DATA=[22 58 21 02 B7 71 01 05]
ID=171 LEN=8 DATA=[AC C4 C3 CA 77 81 01 C8]
ID=172 LEN=8 DATA=[AD CC D3 4A 98 85 01 7F]
ID=173 LEN=8 DATA=[B1 24 13 0B B8 7D 01 92]
ID=174 LEN=8 DATA=[27 8C 72 82 B6 69 01 4B]
ID=175 LEN=8 DATA=[25 60 51 42 F7 75 01 D4]
ID=176 LEN=8 DATA=[23 5C 31 02 E7 75 01 E6]
ID=177 LEN=8 DATA=[AE 90 E4 CA C7 7D 01 84]
ID=17C LEN=8 DATA=[48 3C 00 00 00 10 00 81]
ID=17D LEN=8 DATA=[ED DE BC EC 00 00 00 6C]
ID=170 LEN=8 DATA=[22 58 21 02 B7 71 02 22]
ID=171 LEN=8 DATA=[AC C4 C3 4A 78 81 02 5C]
ID=172 LEN=8 DATA=[AD CC D3 4A 98 85 02 58]
ID=173 LEN=8 DATA=[B1 24 13 0B B8 7D 02 B5]
ID=174 LEN=8 DATA=[27 8C 72 82 B6 69 02 6C]
ID=175 LEN=8 DATA=[25 60 51 42 F7 75 02 F3]
ID=176 LEN=8 DATA=[23 60 31 42 E7 75 02 66]
ID=177 LEN=8 DATA=[AE 90 E4 CA C7 7D 02 A3]
ID=17C LEN=8 DATA=[48 3C 00 00 00 18 00 DB]
ID=17D LEN=8 DATA=[ED DE BC EC 00 00 01 71]
ID=170 LEN=8 DATA=[22 58 21 02 B7 71 03 3F]
ID=171 LEN=8 DATA=[AC C4 C3 4A 78 81 03 41]
ID=172 LEN=8 DATA=[AD CC D3 4A 98 85 03 45]
ID=173 LEN=8 DATA=[B1 24 13 0B D7 7D 03 7E]
ID=174 LEN=8 DATA=[27 8C 72 82 B6 69 03 71]
ID=175 LEN=8 DATA=[25 60 51 42 F7 75 03 EE]
